"Name","API Name","Instance Memory","vCPUs","GPUs","Instance Storage","Network Performance","On Demand","Linux Reserved cost","Linux Spot Minimum cost","Windows On Demand cost","Windows Reserved cost"
"M6GD 12xlarge","m6gd.12xlarge","192.0 GiB","48 vCPUs","0","2850 GB                 (2 * 1425 GB NVMe SSD)","20 Gigabit","$2.1696 hourly","$1.3668 hourly","$0.6509 hourly","unavailable","unavailable"
"M5DN Eight Extra Large","m5dn.8xlarge","128.0 GiB","32 vCPUs","0","1200 GB                 (2 * 600 GB NVMe SSD)","25 Gigabit","$2.1760 hourly","$1.3710 hourly","$0.8754 hourly","$3.6480 hourly","$2.8430 hourly"
"G4DN Eight Extra Large","g4dn.8xlarge","128.0 GiB","32 vCPUs","1","900 GB                 NVMe SSD","50 Gigabit","$2.1760 hourly","$1.3710 hourly","$0.7268 hourly","$3.6480 hourly","$2.8430 hourly"
"C6G 16xlarge","c6g.16xlarge","128.0 GiB","64 vCPUs","0","EBS only","25 Gigabit","$2.1760 hourly","$1.3709 hourly","$0.3847 hourly","unavailable","unavailable"
"C6G Metal","c6g.metal","128.0 GiB","64 vCPUs","0","EBS only","25 Gigabit","$2.1760 hourly","$1.3709 hourly","$0.2176 hourly","unavailable","unavailable"
"C7GD 12xlarge","c7gd.12xlarge","96.0 GiB","48 vCPUs","0","2850 GB                 (2 * 1425 GB NVMe SSD)","22.5 Gigabit","$2.1773 hourly","$1.3721 hourly","$0.5677 hourly","unavailable","unavailable"
"R7GD Eight Extra Large","r7gd.8xlarge","256.0 GiB","32 vCPUs","0","1900 GB                 NVMe SSD","15 Gigabit","$2.1773 hourly","$1.3684 hourly","$0.6830 hourly","unavailable","unavailable"
"M6IN Eight Extra Large","m6in.8xlarge","128.0 GiB","32 vCPUs","0","EBS only","50 Gigabit","$2.2277 hourly","$1.4034 hourly","$1.1751 hourly","$3.6997 hourly","$2.8754 hourly"
"Z1D 6xlarge","z1d.6xlarge","192.0 GiB","24 vCPUs","0","900 GB                 NVMe SSD","12 Gigabit","$2.2320 hourly","$1.4060 hourly","$0.7574 hourly","$3.3360 hourly","$2.5100 hourly"
"G6e Graphics and Machine Learning GPU Double Extra Large","g6e.2xlarge","64.0 GiB","8 vCPUs","1","450 GB                 NVMe SSD","Up to 20 Gigabit","$2.2421 hourly","$1.4125 hourly","$0.8312 hourly","$2.6101 hourly","$1.7805 hourly"
"G3 Graphics GPU Eight Extra Large","g3.8xlarge","244.0 GiB","32 vCPUs","2","EBS only","10 Gigabit","$2.2800 hourly","unavailable","unavailable","$3.7520 hourly","unavailable"
"M7I-FLEX 12xlarge","m7i-flex.12xlarge","192.0 GiB","48 vCPUs","0","EBS only","Up to 18.75 Gigabit","$2.2982 hourly","$1.5202 hourly","$0.8784 hourly","$4.5062 hourly","$3.7282 hourly"
"M5 General Purpose 12xlarge","m5.12xlarge","192.0 GiB","48 vCPUs","0","EBS only","12 Gigabit","$2.3040 hourly","$1.4520 hourly","$0.6253 hourly","$4.5120 hourly","$3.6600 hourly"
"M6I 12xlarge","m6i.12xlarge","192.0 GiB","48 vCPUs","0","EBS only","18.75 Gigabit","$2.3040 hourly","$1.5241 hourly","$0.6141 hourly","$4.5120 hourly","$3.7321 hourly"
"R5D Eight Extra Large","r5d.8xlarge","256.0 GiB","32 vCPUs","0","1200 GB                 (2 * 600 GB NVMe SSD)","10 Gigabit","$2.3040 hourly","$1.4520 hourly","$0.6486 hourly","$3.7760 hourly","$2.9240 hourly"
"C5 High-CPU 12xlarge","c5d.12xlarge","96.0 GiB","48 vCPUs","0","1800 GB                 (2 * 900 GB NVMe SSD)","12 Gigabit","$2.3040 hourly","$1.4520 hourly","$0.7426 hourly","$4.5120 hourly","$3.6600 hourly"
"IS4GEN Quadruple Extra Large","is4gen.4xlarge","96.0 GiB","16 vCPUs","0","15000 GB                 (2 * 7500 GB NVMe SSD)","25 Gigabit","$2.3052 hourly","$1.5722 hourly","$0.7359 hourly","unavailable","unavailable"
"C7G 16xlarge","c7g.16xlarge","128.0 GiB","64 vCPUs","0","EBS only","30 Gigabit","$2.3200 hourly","$1.5288 hourly","$0.3204 hourly","unavailable","unavailable"
"C7G Metal","c7g.metal","128.0 GiB","64 vCPUs","0","EBS only","30 Gigabit","$2.3200 hourly","$1.5288 hourly","$0.4797 hourly","unavailable","unavailable"
"R5N Eight Extra Large","r5n.8xlarge","256.0 GiB","32 vCPUs","0","EBS only","25 Gigabit","$2.3840 hourly","$1.5020 hourly","$0.5247 hourly","$3.8560 hourly","$2.9740 hourly"
"R5B Eight Extra Large","r5b.8xlarge","256.0 GiB","32 vCPUs","0","EBS only","10 Gigabit","$2.3840 hourly","$1.5019 hourly","$0.9211 hourly","$3.8560 hourly","$2.9739 hourly"
"R6ID Eight Extra Large","r6id.8xlarge","256.0 GiB","32 vCPUs","0","1900 GB                 NVMe SSD","12.5 Gigabit","$2.4192 hourly","$1.5204 hourly","$0.7799 hourly","$3.8912 hourly","$2.9924 hourly"
"C6ID 12xlarge","c6id.12xlarge","96.0 GiB","48 vCPUs","0","2850 GB                 (2 * 1425 GB NVMe SSD)","18.75 Gigabit","$2.4192 hourly","$1.5246 hourly","$0.7106 hourly","$4.6272 hourly","$3.7326 hourly"
"M7I 12xlarge","m7i.12xlarge","192.0 GiB","48 vCPUs","0","EBS only","18.75 Gigabit","$2.4192 hourly","$1.6003 hourly","$0.6687 hourly","$4.6272 hourly","$3.8083 hourly"
"R6G 12xlarge","r6g.12xlarge","384.0 GiB","48 vCPUs","0","EBS only","20 Gigabit","$2.4192 hourly","$1.5241 hourly","$0.4558 hourly","unavailable","unavailable"
"R7A Eight Extra Large","r7a.8xlarge","256.0 GiB","32 vCPUs","0","EBS only","12.5 Gigabit","$2.4344 hourly","$1.6104 hourly","$0.3045 hourly","$3.9064 hourly","$3.0824 hourly"
"Gr6 Graphics and Machine Learning GPU High RAM ratio Eight Extra Large","gr6.8xlarge","256.0 GiB","32 vCPUs","1","900 GB                 (2 * 450 GB NVMe SSD)","25 Gigabit","$2.4464 hourly","$1.5926 hourly","$0.8871 hourly","$3.9184 hourly","$3.0646 hourly"
"G5 Graphics and Machine Learning GPU Eight Extra Large","g5.8xlarge","128.0 GiB","32 vCPUs","1","900 GB                 NVMe SSD","25 Gigabit","$2.4480 hourly","$1.5422 hourly","$0.9110 hourly","$3.9200 hourly","$3.0142 hourly"
"C6A 16xlarge","c6a.16xlarge","128.0 GiB","64 vCPUs","0","EBS only","25 Gigabit","$2.4480 hourly","$1.6194 hourly","$0.8586 hourly","$5.3920 hourly","$4.5633 hourly"
"C6GD 16xlarge","c6gd.16xlarge","128.0 GiB","64 vCPUs","0","3800 GB                 (2 * 1900 GB NVMe SSD)","25 Gigabit","$2.4576 hourly","$1.5483 hourly","$0.2458 hourly","unavailable","unavailable"
"C6GD Metal","c6gd.metal","128.0 GiB","64 vCPUs","0","3800 GB                 (2 * 1900 GB NVMe SSD)","25 Gigabit","$2.4576 hourly","$1.5483 hourly","$0.2458 hourly","unavailable","unavailable"
"C7A 12xlarge","c7a.12xlarge","96.0 GiB","48 vCPUs","0","EBS only","18.75 Gigabit","$2.4634 hourly","$1.6295 hourly","$0.5654 hourly","$4.6714 hourly","$3.8375 hourly"
"C5A 16xlarge","c5a.16xlarge","128.0 GiB","64 vCPUs","0","EBS only","20 Gigabit","$2.4640 hourly","$1.5520 hourly","$0.8571 hourly","$5.4080 hourly","$4.4960 hourly"
"M6G Metal","m6g.metal","256.0 GiB","64 vCPUs","0","EBS only","25 Gigabit","$2.4640 hourly","$1.5456 hourly","$0.5221 hourly","unavailable","unavailable"
"M6G 16xlarge","m6g.16xlarge","256.0 GiB","64 vCPUs","0","EBS only","25 Gigabit","$2.4640 hourly","$1.5456 hourly","$0.5911 hourly","unavailable","unavailable"
"I4G Eight Extra Large","i4g.8xlarge","256.0 GiB","32 vCPUs","0","7500 GB                 (2 * 3750 GB NVMe SSD)","18.75 Gigabit","$2.4710 hourly","$1.6036 hourly","$0.8389 hourly","unavailable","unavailable"
"M5AD 12xlarge","m5ad.12xlarge","192.0 GiB","48 vCPUs","0","1800 GB                 (2 * 900 GB NVMe SSD)","10 Gigabit","$2.4720 hourly","$1.5570 hourly","$0.8914 hourly","$4.6800 hourly","$3.7650 hourly"
"I3 High I/O Eight Extra Large","i3.8xlarge","244.0 GiB","32 vCPUs","0","7600 GB                 (4 * 1900 GB NVMe SSD)","10 Gigabit","$2.4960 hourly","$1.7140 hourly","$0.7328 hourly","$3.9680 hourly","$3.1860 hourly"
"M6IDN Eight Extra Large","m6idn.8xlarge","128.0 GiB","32 vCPUs","0","1900 GB                 NVMe SSD","50 Gigabit","$2.5459 hourly","$1.6039 hourly","$1.0390 hourly","$4.0179 hourly","$3.0759 hourly"
"C8G 16xlarge","c8g.16xlarge","128.0 GiB","64 vCPUs","0","EBS only","30 Gigabit","$2.5523 hourly","$1.6819 hourly","$0.4456 hourly","unavailable","unavailable"
"M7GD 12xlarge","m7gd.12xlarge","192.0 GiB","48 vCPUs","0","2850 GB                 (2 * 1425 GB NVMe SSD)","22.5 Gigabit","$2.5628 hourly","$1.6146 hourly","$0.5804 hourly","unavailable","unavailable"
"R7G 12xlarge","r7g.12xlarge","384.0 GiB","48 vCPUs","0","EBS only","22.5 Gigabit","$2.5704 hourly","$1.7003 hourly","$0.3138 hourly","unavailable","unavailable"
"G2 Eight Extra Large","g2.8xlarge","60.0 GiB","32 vCPUs","4","EBS only","High","$2.6000 hourly","unavailable","unavailable","$2.8780 hourly","unavailable"
"M7G Metal","m7g.metal","256.0 GiB","64 vCPUs","0","EBS only","30 Gigabit","$2.6112 hourly","$1.7273 hourly","$0.4056 hourly","unavailable","unavailable"
"M7G 16xlarge","m7g.16xlarge","256.0 GiB","64 vCPUs","0","EBS only","30 Gigabit","$2.6112 hourly","$1.7273 hourly","$0.7190 hourly","unavailable","unavailable"
"R3 High-Memory Eight Extra Large","r3.8xlarge","244.0 GiB","32 vCPUs","0","640 GB                 (2 * 320 GB SSD)","10 Gigabit","$2.6600 hourly","$1.6720 hourly","$0.7465 hourly","$3.5000 hourly","$1.9890 hourly"
"R5DN Eight Extra Large","r5dn.8xlarge","256.0 GiB","32 vCPUs","0","1200 GB                 (2 * 600 GB NVMe SSD)","25 Gigabit","$2.6720 hourly","$1.6830 hourly","$0.7830 hourly","$4.1440 hourly","$3.1550 hourly"
"X2GD Eight Extra Large","x2gd.8xlarge","512.0 GiB","32 vCPUs","0","1900 GB                 NVMe SSD","12 Gigabit","$2.6720 hourly","$1.6466 hourly","$0.5622 hourly","unavailable","unavailable"
"I3EN 6xlarge","i3en.6xlarge","192.0 GiB","24 vCPUs","0","15000 GB                 (2 * 7500 GB NVMe SSD)","25 Gigabit","$2.7120 hourly","$1.8470 hourly","$0.8014 hourly","$3.8160 hourly","$2.9510 hourly"
"M5 General Purpose 12xlarge","m5d.12xlarge","192.0 GiB","48 vCPUs","0","1800 GB                 (2 * 900 GB NVMe SSD)","12 Gigabit","$2.7120 hourly","$1.7090 hourly","$1.0557 hourly","$4.9200 hourly","$3.9170 hourly"
"R5A 12xlarge","r5a.12xlarge","384.0 GiB","48 vCPUs","0","EBS only","10 Gigabit","$2.7120 hourly","$1.7090 hourly","$0.9425 hourly","$4.9200 hourly","$3.9170 hourly"
"C7I-FLEX 16xlarge","c7i-flex.16xlarge","128.0 GiB","64 vCPUs","0","EBS only","Up to 25 Gigabit","$2.7132 hourly","$1.7948 hourly","$0.2713 hourly","$5.6572 hourly","$4.7388 hourly"
"C6I 16xlarge","c6i.16xlarge","128.0 GiB","64 vCPUs","0","EBS only","25 Gigabit","$2.7200 hourly","$1.7993 hourly","$0.8511 hourly","$5.6640 hourly","$4.7433 hourly"
"R6A 12xlarge","r6a.12xlarge","384.0 GiB","48 vCPUs","0","EBS only","18.75 Gigabit","$2.7216 hourly","$1.8003 hourly","$0.6953 hourly","$4.9296 hourly","$4.0083 hourly"
"C6IN 12xlarge","c6in.12xlarge","96.0 GiB","48 vCPUs","0","EBS only","75 Gigabit","$2.7216 hourly","$1.7146 hourly","$0.8539 hourly","$4.9296 hourly","$3.9226 hourly"
"G5G Metal","g5g.metal","128.0 GiB","64 vCPUs","2","EBS only","25 Gigabit","$2.7440 hourly","$1.7287 hourly","$0.3068 hourly","unavailable","unavailable"
"G5G 16xlarge","g5g.16xlarge","128.0 GiB","64 vCPUs","2","EBS only","25 Gigabit","$2.7440 hourly","$1.7287 hourly","$0.2956 hourly","unavailable","unavailable"
"I8G Eight Extra Large","i8g.8xlarge","256.0 GiB","32 vCPUs","0","7500 GB                 (2 * 3750 GB NVMe SSD)","Up to 25 Gigabit","$2.7456 hourly","unavailable","$0.7266 hourly","unavailable","unavailable"
"I4I Eight Extra Large","i4i.8xlarge","256.0 GiB","32 vCPUs","0","7500 GB                 (2 * 3750 GB NVMe SSD)","18.75 Gigabit","$2.7460 hourly","$1.7820 hourly","$1.1384 hourly","$4.2180 hourly","$3.2540 hourly"
"M5A 16xlarge","m5a.16xlarge","256.0 GiB","64 vCPUs","0","EBS only","12 Gigabit","$2.7520 hourly","$1.7340 hourly","$0.8806 hourly","$5.6960 hourly","$4.6780 hourly"
"C5AD 16xlarge","c5ad.16xlarge","128.0 GiB","64 vCPUs","0","2400 GB                 (2 * 1200 GB NVMe SSD)","20 Gigabit","$2.7520 hourly","$1.7340 hourly","$0.9589 hourly","$5.6960 hourly","$4.6780 hourly"
"D2 Quadruple Extra Large","d2.4xlarge","122.0 GiB","16 vCPUs","0","24576 GB                 (12 * 2048 GB HDD)","High","$2.7600 hourly","$1.6080 hourly","$0.3103 hourly","$3.0620 hourly","$1.6900 hourly"
"R6GD 12xlarge","r6gd.12xlarge","384.0 GiB","48 vCPUs","0","2850 GB                 (2 * 1425 GB NVMe SSD)","20 Gigabit","$2.7648 hourly","$1.7418 hourly","$0.6832 hourly","unavailable","unavailable"
"M6A 16xlarge","m6a.16xlarge","256.0 GiB","64 vCPUs","0","EBS only","25 Gigabit","$2.7648 hourly","$1.8289 hourly","$1.0067 hourly","$5.7088 hourly","$4.7729 hourly"
"C6GN 16xlarge","c6gn.16xlarge","128.0 GiB","64 vCPUs","0","EBS only","100 Gigabit","$2.7648 hourly","$1.7450 hourly","$0.3102 hourly","unavailable","unavailable"
"M7A 12xlarge","m7a.12xlarge","192.0 GiB","48 vCPUs","0","EBS only","18.75 Gigabit","$2.7821 hourly","$1.8403 hourly","$0.6938 hourly","$4.9901 hourly","$4.0484 hourly"
"R6IN Eight Extra Large","r6in.8xlarge","256.0 GiB","32 vCPUs","0","EBS only","50 Gigabit","$2.7893 hourly","$1.7572 hourly","$0.3986 hourly","$4.2613 hourly","$3.2292 hourly"
"R8G 12xlarge","r8g.12xlarge","384.0 GiB","48 vCPUs","0","EBS only","22.5 Gigabit","$2.8277 hourly","$1.8705 hourly","$0.7478 hourly","unavailable","unavailable"
"M6ID 12xlarge","m6id.12xlarge","192.0 GiB","48 vCPUs","0","2850 GB                 (2 * 1425 GB NVMe SSD)","18.75 Gigabit","$2.8476 hourly","$1.7940 hourly","$0.4641 hourly","$5.0556 hourly","$4.0020 hourly"
"M5N 12xlarge","m5n.12xlarge","192.0 GiB","48 vCPUs","0","EBS only","50 Gigabit","$2.8560 hourly","$1.7990 hourly","$1.0895 hourly","$5.0640 hourly","$4.0070 hourly"
"C7I 16xlarge","c7i.16xlarge","128.0 GiB","64 vCPUs","0","EBS only","25 Gigabit","$2.8560 hourly","$1.8892 hourly","$0.8843 hourly","$5.8000 hourly","$4.8332 hourly"
"M8G 16xlarge","m8g.16xlarge","256.0 GiB","64 vCPUs","0","EBS only","30 Gigabit","$2.8723 hourly","$1.9000 hourly","$1.0359 hourly","unavailable","unavailable"
"M6GD 16xlarge","m6gd.16xlarge","256.0 GiB","64 vCPUs","0","3800 GB                 (2 * 1900 GB NVMe SSD)","25 Gigabit","$2.8928 hourly","$1.8225 hourly","$0.7137 hourly","unavailable","unavailable"
"M6GD Metal","m6gd.metal","256.0 GiB","64 vCPUs","0","3800 GB                 (2 * 1900 GB NVMe SSD)","25 Gigabit","$2.8928 hourly","$1.8225 hourly","$0.2893 hourly","unavailable","unavailable"
"C7GD Metal","c7gd.metal","128.0 GiB","64 vCPUs","0","3800 GB                 (2 * 1900 GB NVMe SSD)","30 Gigabit","$2.9030 hourly","$1.8295 hourly","$0.2903 hourly","unavailable","unavailable"
"C7GD 16xlarge","c7gd.16xlarge","128.0 GiB","64 vCPUs","0","3800 GB                 (2 * 1900 GB NVMe SSD)","30 Gigabit","$2.9030 hourly","$1.8295 hourly","$0.2903 hourly","unavailable","unavailable"
"IM4GN Eight Extra Large","im4gn.8xlarge","128.0 GiB","32 vCPUs","0","15000 GB                 (2 * 7500 GB NVMe SSD)","50 Gigabit","$2.9103 hourly","$1.8665 hourly","$0.2910 hourly","unavailable","unavailable"
"R7IZ Eight Extra Large","r7iz.8xlarge","256.0 GiB","32 vCPUs","0","EBS only","12.5 Gigabit","$2.9760 hourly","$1.8749 hourly","$0.7298 hourly","$4.4480 hourly","$3.3469 hourly"
"C7GN 12xlarge","c7gn.12xlarge","96.0 GiB","48 vCPUs","0","EBS only","150 Gigabit","$2.9952 hourly","$1.8870 hourly","$0.3827 hourly","unavailable","unavailable"
"G6e Graphics and Machine Learning GPU Quadruple Extra Large","g6e.4xlarge","128.0 GiB","16 vCPUs","1","600 GB                 NVMe SSD","20 Gigabit","$3.0042 hourly","$1.8927 hourly","$0.9485 hourly","$3.7402 hourly","$2.6287 hourly"
"R6I 12xlarge","r6i.12xlarge","384.0 GiB","48 vCPUs","0","EBS only","18.75 Gigabit","$3.0240 hourly","$2.0004 hourly","$0.7523 hourly","$5.2320 hourly","$4.2084 hourly"
"R5 12xlarge","r5.12xlarge","384.0 GiB","48 vCPUs","0","EBS only","12 Gigabit","$3.0240 hourly","$1.9050 hourly","$0.7852 hourly","$5.2320 hourly","$4.1130 hourly"
"C5 High-CPU 18xlarge","c5.18xlarge","144.0 GiB","72 vCPUs","0","EBS only","25 Gigabit","$3.0600 hourly","$1.9280 hourly","$0.8578 hourly","$6.3720 hourly","$5.2400 hourly"
"P3 High Performance GPU Double Extra Large","p3.2xlarge","61.0 GiB","8 vCPUs","1","EBS only","Up to 10 Gigabit","$3.0600 hourly","unavailable","$0.3060 hourly","$3.4280 hourly","unavailable"
"M7I-FLEX 16xlarge","m7i-flex.16xlarge","256.0 GiB","64 vCPUs","0","EBS only","Up to 25 Gigabit","$3.0643 hourly","$2.0269 hourly","$1.0450 hourly","$6.0083 hourly","$4.9709 hourly"
"M6I 16xlarge","m6i.16xlarge","256.0 GiB","64 vCPUs","0","EBS only","25 Gigabit","$3.0720 hourly","$2.0321 hourly","$1.0797 hourly","$6.0160 hourly","$4.9761 hourly"
"M5 General Purpose 16xlarge","m5.16xlarge","256.0 GiB","64 vCPUs","0","EBS only","20 Gigabit","$3.0720 hourly","$1.9350 hourly","$0.7772 hourly","$6.0160 hourly","$4.8790 hourly"
"I7IE 6xlarge","i7ie.6xlarge","192.0 GiB","24 vCPUs","0","15000 GB                 (2 * 7500 GB NVMe SSD)","Up to 25 Gigabit","$3.1188 hourly","unavailable","$1.0790 hourly","$4.2228 hourly","unavailable"
"R6IDN Eight Extra Large","r6idn.8xlarge","256.0 GiB","32 vCPUs","0","1900 GB                 NVMe SSD","50 Gigabit","$3.1262 hourly","$1.9695 hourly","$0.9717 hourly","$4.5982 hourly","$3.4415 hourly"
"X8G Eight Extra Large","x8g.8xlarge","512.0 GiB","32 vCPUs","0","EBS only","15 Gigabit","$3.1264 hourly","$1.9266 hourly","$0.3126 hourly","unavailable","unavailable"
"R5AD 12xlarge","r5ad.12xlarge","384.0 GiB","48 vCPUs","0","1800 GB                 (2 * 900 GB NVMe SSD)","10 Gigabit","$3.1440 hourly","$1.9810 hourly","$1.1285 hourly","$5.3520 hourly","$4.1890 hourly"
"D3EN 6xlarge","d3en.6xlarge","96.0 GiB","24 vCPUs","0","167760 GB                 (12 * 13980 GB NVMe HDD)","40 Gigabit","$3.1540 hourly","$1.9870 hourly","$0.6346 hourly","$4.2580 hourly","$3.0910 hourly"
"R7I 12xlarge","r7i.12xlarge","384.0 GiB","48 vCPUs","0","EBS only","18.75 Gigabit","$3.1752 hourly","$2.1004 hourly","$0.9460 hourly","$5.3832 hourly","$4.3084 hourly"
"M4 General Purpose 16xlarge","m4.16xlarge","256.0 GiB","64 vCPUs","0","EBS only","25 Gigabit","$3.2000 hourly","$1.9824 hourly","$1.0069 hourly","$6.1440 hourly","$4.9264 hourly"
"M7I 16xlarge","m7i.16xlarge","256.0 GiB","64 vCPUs","0","EBS only","25 Gigabit","$3.2256 hourly","$2.1337 hourly","$0.8510 hourly","$6.1696 hourly","$5.0777 hourly"
"R6G 16xlarge","r6g.16xlarge","512.0 GiB","64 vCPUs","0","EBS only","25 Gigabit","$3.2256 hourly","$2.0321 hourly","$0.3226 hourly","unavailable","unavailable"
"C6ID 16xlarge","c6id.16xlarge","128.0 GiB","64 vCPUs","0","3800 GB                 (2 * 1900 GB NVMe SSD)","25 Gigabit","$3.2256 hourly","$2.0328 hourly","$0.9076 hourly","$6.1696 hourly","$4.9768 hourly"
"R6G Metal","r6g.metal","512.0 GiB","64 vCPUs","0","EBS only","25 Gigabit","$3.2256 hourly","$2.0321 hourly","$0.4883 hourly","unavailable","unavailable"
"M5DN 12xlarge","m5dn.12xlarge","192.0 GiB","48 vCPUs","0","1800 GB                 (2 * 900 GB NVMe SSD)","50 Gigabit","$3.2640 hourly","$2.0560 hourly","$0.8431 hourly","$5.4720 hourly","$4.2640 hourly"
"R7GD 12xlarge","r7gd.12xlarge","384.0 GiB","48 vCPUs","0","2850 GB                 (2 * 1425 GB NVMe SSD)","22.5 Gigabit","$3.2659 hourly","$2.0525 hourly","$0.4835 hourly","unavailable","unavailable"
"C7A 16xlarge","c7a.16xlarge","128.0 GiB","64 vCPUs","0","EBS only","25 Gigabit","$3.2845 hourly","$2.1727 hourly","$1.0063 hourly","$6.2285 hourly","$5.1167 hourly"
"M5AD 16xlarge","m5ad.16xlarge","256.0 GiB","64 vCPUs","0","2400 GB                 (4 * 600 GB NVMe SSD)","12 Gigabit","$3.2960 hourly","$2.0760 hourly","$1.4101 hourly","$6.2400 hourly","$5.0200 hourly"
"F1 Quadruple Extra Large","f1.4xlarge","244.0 GiB","16 vCPUs","0","940 GB                 NVMe SSD","Up to 10 Gigabit","$3.3000 hourly","unavailable","$0.6372 hourly","unavailable","unavailable"
"X2IEDN Quadruple Extra Large","x2iedn.4xlarge","512.0 GiB","16 vCPUs","0","475 GB                 NVMe SSD","Up to 25 Gigabit","$3.3345 hourly","$2.0517 hourly","$0.9174 hourly","$4.0705 hourly","$2.7877 hourly"
"X1E Quadruple Extra Large","x1e.4xlarge","488.0 GiB","16 vCPUs","0","480 GB                 SSD","Up to 10 Gigabit","$3.3360 hourly","$2.0560 hourly","$0.8845 hourly","$4.0720 hourly","$2.7920 hourly"
"X2IEZN Quadruple Extra Large","x2iezn.4xlarge","512.0 GiB","16 vCPUs","0","EBS only","Up to 25 Gigabit","$3.3360 hourly","$2.0538 hourly","$0.9260 hourly","$4.0720 hourly","$2.7898 hourly"
"M6IN 12xlarge","m6in.12xlarge","192.0 GiB","48 vCPUs","0","EBS only","75 Gigabit","$3.3415 hourly","$2.1052 hourly","$1.5891 hourly","$5.5495 hourly","$4.3132 hourly"
"G6 Graphics and Machine Learning GPU 16xlarge","g6.16xlarge","256.0 GiB","64 vCPUs","1","1880 GB                 (2 * 940 GB NVMe SSD)","25 Gigabit","$3.3968 hourly","$2.2113 hourly","$1.0862 hourly","$6.3408 hourly","$5.1553 hourly"
"I2 Quadruple Extra Large","i2.4xlarge","122.0 GiB","16 vCPUs","0","3200 GB                 (4 * 800 GB SSD)","High","$3.4100 hourly","$1.6960 hourly","$0.6529 hourly","$3.8910 hourly","$2.2600 hourly"
"M7GD 16xlarge","m7gd.16xlarge","256.0 GiB","64 vCPUs","0","3800 GB                 (2 * 1900 GB NVMe SSD)","30 Gigabit","$3.4171 hourly","$2.1528 hourly","$0.7470 hourly","unavailable","unavailable"
"M7GD Metal","m7gd.metal","256.0 GiB","64 vCPUs","0","3800 GB                 (2 * 1900 GB NVMe SSD)","30 Gigabit","$3.4171 hourly","$2.1528 hourly","$0.3417 hourly","unavailable","unavailable"
"R7G Metal","r7g.metal","512.0 GiB","64 vCPUs","0","EBS only","30 Gigabit","$3.4272 hourly","$2.2671 hourly","$0.6890 hourly","unavailable","unavailable"
"R7G 16xlarge","r7g.16xlarge","512.0 GiB","64 vCPUs","0","EBS only","30 Gigabit","$3.4272 hourly","$2.2671 hourly","$0.3427 hourly","unavailable","unavailable"
"R5D 12xlarge","r5d.12xlarge","384.0 GiB","48 vCPUs","0","1800 GB                 (2 * 900 GB NVMe SSD)","12 Gigabit","$3.4560 hourly","$2.1770 hourly","$1.1831 hourly","$5.6640 hourly","$4.3850 hourly"
"C5 High-CPU 18xlarge","c5d.18xlarge","144.0 GiB","72 vCPUs","0","1800 GB                 (2 * 900 GB NVMe SSD)","25 Gigabit","$3.4560 hourly","$2.1770 hourly","$0.8471 hourly","$6.7680 hourly","$5.4890 hourly"
"G4AD 16xlarge","g4ad.16xlarge","256.0 GiB","64 vCPUs","4","2400 GB                 (2 * 1200 GB NVMe SSD)","25 Gigabit","$3.4680 hourly","$2.1848 hourly","$1.1282 hourly","$6.4120 hourly","$5.1288 hourly"
"High Memory Cluster Eight Extra Large","cr1.8xlarge","244.0 GiB","32 vCPUs","0","EBS only","10 Gigabit","$3.5000 hourly","unavailable","unavailable","$3.8310 hourly","unavailable"
"R5B 12xlarge","r5b.12xlarge","384.0 GiB","48 vCPUs","0","EBS only","12 Gigabit","$3.5760 hourly","$2.2529 hourly","$1.4483 hourly","$5.7840 hourly","$4.4609 hourly"
"R5N 12xlarge","r5n.12xlarge","384.0 GiB","48 vCPUs","0","EBS only","50 Gigabit","$3.5760 hourly","$2.2530 hourly","$0.9440 hourly","$5.7840 hourly","$4.4610 hourly"
"M5 General Purpose 16xlarge","m5d.16xlarge","256.0 GiB","64 vCPUs","0","2400 GB                 (4 * 600 GB NVMe SSD)","20 Gigabit","$3.6160 hourly","$2.2780 hourly","$1.2576 hourly","$6.5600 hourly","$5.2220 hourly"
"R5A 16xlarge","r5a.16xlarge","512.0 GiB","64 vCPUs","0","EBS only","12 Gigabit","$3.6160 hourly","$2.2780 hourly","$0.8649 hourly","$6.5600 hourly","$5.2220 hourly"
"R6A 16xlarge","r6a.16xlarge","512.0 GiB","64 vCPUs","0","EBS only","25 Gigabit","$3.6288 hourly","$2.4005 hourly","$0.6766 hourly","$6.5728 hourly","$5.3445 hourly"
"C6IN 16xlarge","c6in.16xlarge","128.0 GiB","64 vCPUs","0","EBS only","100 Gigabit","$3.6288 hourly","$2.2861 hourly","$1.0745 hourly","$6.5728 hourly","$5.2301 hourly"
"R6ID 12xlarge","r6id.12xlarge","384.0 GiB","48 vCPUs","0","2850 GB                 (2 * 1425 GB NVMe SSD)","18.75 Gigabit","$3.6288 hourly","$2.2806 hourly","$1.2448 hourly","$5.8368 hourly","$4.4886 hourly"
"R7A 12xlarge","r7a.12xlarge","384.0 GiB","48 vCPUs","0","EBS only","18.75 Gigabit","$3.6516 hourly","$2.4155 hourly","$0.8528 hourly","$5.8596 hourly","$4.6235 hourly"
"C6A 24xlarge","c6a.24xlarge","192.0 GiB","96 vCPUs","0","EBS only","37.5 Gigabit","$3.6720 hourly","$2.4290 hourly","$1.0527 hourly","$8.0880 hourly","$6.8450 hourly"
