"Name","API Name","Instance Memory","vCPUs","GPUs","Instance Storage","Network Performance","On Demand","Linux Reserved cost","Linux Spot Minimum cost","Windows On Demand cost","Windows Reserved cost"
"C7I-FLEX Eight Extra Large","c7i-flex.8xlarge","64.0 GiB","32 vCPUs","0","EBS only","Up to 12.5 Gigabit","$1.3566 hourly","$0.8974 hourly","$0.3741 hourly","$2.7550 hourly","$2.2958 hourly"
"C6I Eight Extra Large","c6i.8xlarge","64.0 GiB","32 vCPUs","0","EBS only","12.5 Gigabit","$1.3600 hourly","$0.8996 hourly","$0.4800 hourly","$2.8320 hourly","$2.3716 hourly"
"G5G Eight Extra Large","g5g.8xlarge","64.0 GiB","32 vCPUs","1","EBS only","12 Gigabit","$1.3720 hourly","$0.8644 hourly","$0.5971 hourly","unavailable","unavailable"
"I8G Quadruple Extra Large","i8g.4xlarge","128.0 GiB","16 vCPUs","0","3750 GB                 NVMe SSD","Up to 25 Gigabit","$1.3728 hourly","unavailable","$0.2478 hourly","unavailable","unavailable"
"I4I Quadruple Extra Large","i4i.4xlarge","128.0 GiB","16 vCPUs","0","3750 GB                 NVMe SSD","Up to 25 Gigabit","$1.3730 hourly","$0.8910 hourly","$0.6341 hourly","$2.1090 hourly","$1.6270 hourly"
"C5AD Eight Extra Large","c5ad.8xlarge","64.0 GiB","32 vCPUs","0","1200 GB                 (2 * 600 GB NVMe SSD)","10 Gigabit","$1.3760 hourly","$0.8670 hourly","$0.6560 hourly","$2.8480 hourly","$2.3390 hourly"
"M5A Eight Extra Large","m5a.8xlarge","128.0 GiB","32 vCPUs","0","EBS only","Up to 10 Gigabit","$1.3760 hourly","$0.8670 hourly","$0.3858 hourly","$2.8480 hourly","$2.3390 hourly"
"D2 Double Extra Large","d2.2xlarge","61.0 GiB","8 vCPUs","0","12288 GB                 (6 * 2048 GB HDD)","High","$1.3800 hourly","$0.8040 hourly","$0.1380 hourly","$1.6010 hourly","$0.8850 hourly"
"M6A Eight Extra Large","m6a.8xlarge","128.0 GiB","32 vCPUs","0","EBS only","12.5 Gigabit","$1.3824 hourly","$0.9145 hourly","$0.4647 hourly","$2.8544 hourly","$2.3865 hourly"
"C6GN Eight Extra Large","c6gn.8xlarge","64.0 GiB","32 vCPUs","0","EBS only","50 Gigabit","$1.3824 hourly","$0.8725 hourly","$0.3804 hourly","unavailable","unavailable"
"R6IN Quadruple Extra Large","r6in.4xlarge","128.0 GiB","16 vCPUs","0","EBS only","Up to 50 Gigabit","$1.3946 hourly","$0.8786 hourly","$0.5181 hourly","$2.1306 hourly","$1.6146 hourly"
